linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
856;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;415;4240;60000.0;BOMBA A BATERIA PARA DESENCARCERADORES. Bomba hidráulica portátil, alimentada por bateria recarregável, destinada ao acionamento de ferramentas hidráulicas de desencarceramento, permitindo a conexão e operação alternada de, no mínimo | 449052
858;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;417;9290;20000.0;piloto comercial de helicóptero | 339039
859;DITIC;publicado com pendência;unidade_fornecimento_ausente;170394;418;1313;2800000.0;Aquisição de suíte de escritório, colaboração e produtividade com sincronização e/ou com armazenamento de arquivos em nuvem | 339039
860;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;419;7320;43200.3;Aparelhos eletrodomésticos em geral e boneca MÁQUINA DE LAVAR ROUPAS | 449052
864;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;420;8530;356.6;Materiais e acessórios de proteção individual Máscara respiratória pff2 com válvula. MODELO C.A: 38503 | 339030
872;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;422;5680;37.7;Ferramentas em geral DESEMPENADEIRA | 339030
876;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;423;5680;228.4;Ferramentas em geral PÉ DE CABRA | 339030
884;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;425;5680;127.8;"Ferramentas em geral PINCEL TRINCHA PELO DE CAMELO - cerdas sintéticas e macias, no formato Flat (chato). Kit 3 pinceis - Pincel chato 1"" 2,5cm - Pincel chato 2"" 5,06cm - Pincel chato 3"" 7,6cm | 339030"
888;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;426;5680;27.41;Ferramentas em geral ALICATE para retirar filtro de combustível | 339030
892;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;427;5680;175.0;Ferramentas em geral ALICATE DE PRESSÃO, 10” com bico reto profissional Pro-4401 | 339030
896;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;428;8510;179.4;Brindes AROMATIZANTE PARA VEÍCULOS: Formato circular com 7,5 cm de diâmetro e com cheirinho de carro novo, envolto em embalagem. Para pendurar em um local desejado com impressão em até 6 (seis) cores | 339030
900;COMAP;publicado com pendência;unidade_fornecimento_ausente;170394;429;1141;35000.0;Software mCalc para elaboração de projetos de estrutura metálica | 339039
901;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;430;4110;1999.0;Aparelhos e central de ar condicionado APARELHO AR CONDICIONADO, capacidade: 9.000 btu/h, gás r410a, tipo: split hi-wall, tensão: monofásico 220v | 449052
905;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;431;4220;318932.16;"BOTE INFLÁVEL: Capacidade de pessoas a bordo: no mínimo 6 pessoas, sendo, um tripulante e cinco passageiros; capacidade total de carga: mínima de 1,300kg; comprimento mínimo interno de 3,20m; diâmetro dos flutuadores mínimo de 0,50m | 449052"
906;COMAV;publicado com pendência;unidade_fornecimento_ausente;170394;432;6530;25000.0;KIT DE CRICOTIREOIDOSTOMIA POR PUNÇÃO | 449052
907;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;433;9290;108000.0;Pós-graduação Full-Stack com IA – Rocketseat | 339039
908;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;434;4430;7444.5;Aparelhos eletrodomésticos em geral e louça FOGÃO doméstico, cooktop de indução 4 bocas - 220v. Mais | 449052
